Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module tb_dds_top.uut.u_sine_output.u_blk_mem.blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_12_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Time:                    0 | DAC Data: xxxx
Time:              8039000 | DAC Data: 29e0
Time:              8049000 | DAC Data: 27f0
Time:              8059000 | DAC Data: 25f8
Time:              8069000 | DAC Data: 2400
Time:              8079000 | DAC Data: 1e00
Time:              8089000 | DAC Data: 2000
Time:              8099000 | DAC Data: 1e00
Time:              8109000 | DAC Data: 1c00
Time:              8119000 | DAC Data: 1a08
Time:              8129000 | DAC Data: 1810
Time:              8139000 | DAC Data: 1620
Time:              8149000 | DAC Data: 1440
Time:              8159000 | DAC Data: 1268
Time:              8169000 | DAC Data: 1098
Time:              8179000 | DAC Data: 0ee0
Time:              8189000 | DAC Data: 0d38
Time:              8199000 | DAC Data: 0ba0
Time:              8209000 | DAC Data: 0a18
Time:              8219000 | DAC Data: 08b8
Time:              8229000 | DAC Data: 0760
Time:              8239000 | DAC Data: 0620
Time:              8249000 | DAC Data: 0500
Time:              8259000 | DAC Data: 0400
Time:              8269000 | DAC Data: 0310
Time:              8279000 | DAC Data: 0248
Time:              8289000 | DAC Data: 0198
Time:              8299000 | DAC Data: 0108
Time:              8309000 | DAC Data: 0098
Time:              8319000 | DAC Data: 0048
Time:              8329000 | DAC Data: 0018
